1,Ed Sheeran,Divide,Galway Girl
2,Ed Sheeran,Divide,Castle On The Hill
3,Ed Sheeran,Multiply,Photograph
4,Ed Sheeran,Plus,The A Team
5,Ed Sheeran,Multiply,All Of The Stars
6,Ed Sheeran,Multiply,Thinking Out Loud
7,Eric Clapton,Slowhand,Wonderful Tonight
8,Eric Clapton,Unplugged,Layla
9,Eric Clapton,Slowhand,Lay Down Sally
10,Eric Clapton,Unplugged,Old Love
11,Coldplay,A Rush of Blood to the Head,The Scientist
12,Coldplay,A Head Full of Dreams,Up and Up
13,Coldplay,A Head Full of Dreams,Hymn For The Weekend
14,Coldplay,X & Y,Fix You
15,Coldplay,Ghost Stories,A Sky Full of Stars
16,Coldplay,A Rush of Blood to the Head,In My Place
17,Coldplay,Parachutes,Yellow
18,Coldplay,Mylo Xyloto,Paradise
19,Coldplay,Viva la Vida or Death And All His Friends,Viva la Vida
20,John Mayer,Continuum,Gravity
21,John Mayer,Continuum,Slow Dancing In a Burning Room
22,John Mayer,Battle Studies,Half Of My Heart
23,Foo Fighters,The Colour and the Shape,Everlong
24,Eagles,Hotel California,Hotel California
25,Eagles,Desperado,Desperado
26,Eagles,One of These Nights,Lying Eyes
27,Eagles,Eagles,Take It Easy
28,Eagles,Hell Freezes Over,Love Will Keep Us Alive
29,Snow Patrol,Eyes Open,Chasing Cars
30,Oasis,(What's the Story) Morning Glory?,Don't Look Back In Anger
31,Oasis,Be Here Now,Don't Go Away
32,Oasis,(What's the Story) Morning Glory?,Champagne Supernova
